brandid,query,date,params,querytype
201259,Who is the audience of Beutler Ink,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Beutler Ink"",""returnType"":1}",audience
201260,William Beutler,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""William Beutler"",""returnType"":1}",basic
201260,Who is William Beutler,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is William Beutler"",""returnType"":1}",verboseaccurate
201260,What are William Beutler professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are William Beutler professions"",""returnType"":1}",professions
201260,Who is the audience of William Beutler,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of William Beutler"",""returnType"":1}",audience
201268,Mario Wolosz,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Mario Wolosz"",""returnType"":1}",basic
201268,Who is Mario Wolosz,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Mario Wolosz"",""returnType"":1}",verboseaccurate
201268,What are Mario Wolosz professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Mario Wolosz professions"",""returnType"":1}",professions
201268,Who is the audience of Mario Wolosz,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Mario Wolosz"",""returnType"":1}",audience
201274,EnTrust Global,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""EnTrust Global"",""returnType"":1}",basic
201274,EnTrust Global Investment Firm,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""EnTrust Global Investment Firm"",""returnType"":1}",qualifier
201274,What is EnTrust Global,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is EnTrust Global"",""returnType"":1}",verboseaccurate
201274,What is EnTrust Global Investment Firm,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is EnTrust Global Investment Firm"",""returnType"":1}",qualifier
201274,Who is the audience of EnTrust Global,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of EnTrust Global"",""returnType"":1}",audience
201275,EnTrust,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""EnTrust"",""returnType"":1}",basic
201275,EnTrust Investment Firm,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""EnTrust Investment Firm"",""returnType"":1}",qualifier
201275,What is EnTrust,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is EnTrust"",""returnType"":1}",verboseaccurate
201275,What is EnTrust Investment Firm,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is EnTrust Investment Firm"",""returnType"":1}",qualifier
201275,Who is the audience of EnTrust,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of EnTrust"",""returnType"":1}",audience
201282,CBDfx,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""CBDfx"",""returnType"":1}",basic
201282,What is CBDfx,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is CBDfx"",""returnType"":1}",verboseaccurate
201282,Who is the audience of CBDfx,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of CBDfx"",""returnType"":1}",audience
230947,Susquehanna Growth Equity,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Susquehanna Growth Equity"",""returnType"":1}",basic
230947,What is Susquehanna Growth Equity,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Susquehanna Growth Equity"",""returnType"":1}",verboseaccurate
230947,Who is the audience of Susquehanna Growth Equity,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Susquehanna Growth Equity"",""returnType"":1}",audience
230988,Captain Sully,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Captain Sully"",""returnType"":1}",basic
230988,Captain Sully Pilot,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Captain Sully Pilot"",""returnType"":1}",qualifier
230988,Who is Captain Sully,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Captain Sully"",""returnType"":1}",verboseaccurate
230988,What are Captain Sully professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Captain Sully professions"",""returnType"":1}",professions
230988,Who is Captain Sully Pilot,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Captain Sully Pilot"",""returnType"":1}",verboseaccurate
230988,Who is the audience of Captain Sully,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Captain Sully"",""returnType"":1}",audience
81559,Sully Sullenberger,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Sully Sullenberger"",""returnType"":1}",basic
81559,Sully Sullenberger Pilot,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Sully Sullenberger Pilot"",""returnType"":1}",qualifier
81559,Who is Sully Sullenberger,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Sully Sullenberger"",""returnType"":1}",verboseaccurate
81559,What are Sully Sullenberger professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Sully Sullenberger professions"",""returnType"":1}",professions
81559,Who is Sully Sullenberger Pilot,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Sully Sullenberger Pilot"",""returnType"":1}",verboseaccurate
81559,Who is the audience of Sully Sullenberger,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Sully Sullenberger"",""returnType"":1}",audience
231008,Keith Rabkin,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Keith Rabkin"",""returnType"":1}",basic
231008,Who is Keith Rabkin,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Keith Rabkin"",""returnType"":1}",verboseaccurate
231008,What are Keith Rabkin professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Keith Rabkin professions"",""returnType"":1}",professions
231008,Who is the audience of Keith Rabkin,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Keith Rabkin"",""returnType"":1}",audience
231009,Ashley Kemper,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Ashley Kemper"",""returnType"":1}",basic
231009,Who is Ashley Kemper,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Ashley Kemper"",""returnType"":1}",verboseaccurate
231009,What are Ashley Kemper professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Ashley Kemper professions"",""returnType"":1}",professions
231009,Who is the audience of Ashley Kemper,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Ashley Kemper"",""returnType"":1}",audience
231010,Hanna Stechenko,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Hanna Stechenko"",""returnType"":1}",basic
231010,Who is Hanna Stechenko,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Hanna Stechenko"",""returnType"":1}",verboseaccurate
231010,What are Hanna Stechenko professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Hanna Stechenko professions"",""returnType"":1}",professions
231010,Who is the audience of Hanna Stechenko,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Hanna Stechenko"",""returnType"":1}",audience
231011,Yauhen Zaremba,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Yauhen Zaremba"",""returnType"":1}",basic
231011,Who is Yauhen Zaremba,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Yauhen Zaremba"",""returnType"":1}",verboseaccurate
231011,What are Yauhen Zaremba professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Yauhen Zaremba professions"",""returnType"":1}",professions
231011,Who is the audience of Yauhen Zaremba,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Yauhen Zaremba"",""returnType"":1}",audience
231020,StepForth Web Marketing,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""StepForth Web Marketing"",""returnType"":1}",basic
231020,What is StepForth Web Marketing,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is StepForth Web Marketing"",""returnType"":1}",verboseaccurate
231020,Who is the audience of StepForth Web Marketing,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of StepForth Web Marketing"",""returnType"":1}",audience
231021,Ross Dunn,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Ross Dunn"",""returnType"":1}",basic
231021,Ross Dunn Seo,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Ross Dunn Seo"",""returnType"":1}",qualifier
231021,Who is Ross Dunn,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Ross Dunn"",""returnType"":1}",verboseaccurate
231021,What are Ross Dunn professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Ross Dunn professions"",""returnType"":1}",professions
231021,Who is Ross Dunn Seo,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Ross Dunn Seo"",""returnType"":1}",verboseaccurate
231021,Who is the audience of Ross Dunn,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Ross Dunn"",""returnType"":1}",audience
231026,Russell Wright,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Russell Wright"",""returnType"":1}",basic
231026,Who is Russell Wright,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Russell Wright"",""returnType"":1}",verboseaccurate
231026,What are Russell Wright professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Russell Wright professions"",""returnType"":1}",professions
231026,Who is the audience of Russell Wright,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Russell Wright"",""returnType"":1}",audience
231027,Wealth of Geeks,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Wealth of Geeks"",""returnType"":1}",basic
231027,What is Wealth of Geeks,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Wealth of Geeks"",""returnType"":1}",verboseaccurate
231027,Who is the audience of Wealth of Geeks,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Wealth of Geeks"",""returnType"":1}",audience
231028,Michael Dinich,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Michael Dinich"",""returnType"":1}",basic
231028,Who is Michael Dinich,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Michael Dinich"",""returnType"":1}",verboseaccurate
231028,What are Michael Dinich professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Michael Dinich professions"",""returnType"":1}",professions
231028,Who is the audience of Michael Dinich,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Michael Dinich"",""returnType"":1}",audience
231029,Fadeaway World,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Fadeaway World"",""returnType"":1}",basic
231029,What is Fadeaway World,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Fadeaway World"",""returnType"":1}",verboseaccurate
231029,Who is the audience of Fadeaway World,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Fadeaway World"",""returnType"":1}",audience
231030,Paley Center,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Paley Center"",""returnType"":1}",basic
231030,Paley Center Media Organization,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Paley Center Media Organization"",""returnType"":1}",qualifier
231030,What is Paley Center,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Paley Center"",""returnType"":1}",verboseaccurate
231030,What is Paley Center Media Organization,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Paley Center Media Organization"",""returnType"":1}",qualifier
231030,Who is the audience of Paley Center,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Paley Center"",""returnType"":1}",audience
231031,Paley Museum,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Paley Museum"",""returnType"":1}",basic
231031,Paley Museum Media Organization,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Paley Museum Media Organization"",""returnType"":1}",qualifier
231031,What is Paley Museum,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Paley Museum"",""returnType"":1}",verboseaccurate
231031,What is Paley Museum Media Organization,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Paley Museum Media Organization"",""returnType"":1}",qualifier
231031,Who is the audience of Paley Museum,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Paley Museum"",""returnType"":1}",audience
231033,Real Self-Sufficiency,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Real Self-Sufficiency"",""returnType"":1}",basic
231033,What is Real Self-Sufficiency,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Real Self-Sufficiency"",""returnType"":1}",verboseaccurate
231033,Who is the audience of Real Self-Sufficiency,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Real Self-Sufficiency"",""returnType"":1}",audience
231034,Steven Hatzakis,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Steven Hatzakis"",""returnType"":1}",basic
231034,Who is Steven Hatzakis,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Steven Hatzakis"",""returnType"":1}",verboseaccurate
231034,What are Steven Hatzakis professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Steven Hatzakis professions"",""returnType"":1}",professions
231034,Who is the audience of Steven Hatzakis,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Steven Hatzakis"",""returnType"":1}",audience
231038,Super-Intelligent AI-SEO,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Super-Intelligent AI-SEO"",""returnType"":1}",basic
231038,What is Super-Intelligent AI-SEO,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Super-Intelligent AI-SEO"",""returnType"":1}",verboseaccurate
231038,Who is the audience of Super-Intelligent AI-SEO,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Super-Intelligent AI-SEO"",""returnType"":1}",audience
231052,Erin Gee,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Erin Gee"",""returnType"":1}",basic
231052,Who is Erin Gee,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Erin Gee"",""returnType"":1}",verboseaccurate
231052,What are Erin Gee professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Erin Gee professions"",""returnType"":1}",professions
231052,Who is the audience of Erin Gee,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Erin Gee"",""returnType"":1}",audience
231054,Greg Lansky,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Greg Lansky"",""returnType"":1}",basic
231054,Who is Greg Lansky,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Greg Lansky"",""returnType"":1}",verboseaccurate
231054,What are Greg Lansky professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Greg Lansky professions"",""returnType"":1}",professions
231054,Who is the audience of Greg Lansky,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Greg Lansky"",""returnType"":1}",audience
231055,Katy Willis,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Katy Willis"",""returnType"":1}",basic
231055,Katy Willis Writer,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Katy Willis Writer"",""returnType"":1}",qualifier
231055,Who is Katy Willis,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Katy Willis"",""returnType"":1}",verboseaccurate
231055,What are Katy Willis professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Katy Willis professions"",""returnType"":1}",professions
231055,Who is Katy Willis Writer,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Katy Willis Writer"",""returnType"":1}",verboseaccurate
231055,Who is the audience of Katy Willis,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Katy Willis"",""returnType"":1}",audience
231071,Google Knowledge Graph,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Google Knowledge Graph"",""returnType"":1}",basic
231071,What is Google Knowledge Graph,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Google Knowledge Graph"",""returnType"":1}",verboseaccurate
231071,Who is the audience of Google Knowledge Graph,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Google Knowledge Graph"",""returnType"":1}",audience
231072,EEAT,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""EEAT"",""returnType"":1}",basic
231072,EEAT Google,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""EEAT Google"",""returnType"":1}",qualifier
231072,What is EEAT,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is EEAT"",""returnType"":1}",verboseaccurate
231072,What is EEAT Google,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is EEAT Google"",""returnType"":1}",qualifier
231072,Who is the audience of EEAT,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of EEAT"",""returnType"":1}",audience
231081,Sara Sayegh-Moccand,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Sara Sayegh-Moccand"",""returnType"":1}",basic
231081,Who is Sara Sayegh-Moccand,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Sara Sayegh-Moccand"",""returnType"":1}",verboseaccurate
231081,What are Sara Sayegh-Moccand professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Sara Sayegh-Moccand professions"",""returnType"":1}",professions
231081,Who is the audience of Sara Sayegh-Moccand,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Sara Sayegh-Moccand"",""returnType"":1}",audience
231085,Kavita Gupta,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Kavita Gupta"",""returnType"":1}",basic
231085,Who is Kavita Gupta,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Kavita Gupta"",""returnType"":1}",verboseaccurate
231085,What are Kavita Gupta professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Kavita Gupta professions"",""returnType"":1}",professions
231085,Who is the audience of Kavita Gupta,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Kavita Gupta"",""returnType"":1}",audience
231086,Delta Blockchain Fund,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Delta Blockchain Fund"",""returnType"":1}",basic
231086,What is Delta Blockchain Fund,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Delta Blockchain Fund"",""returnType"":1}",verboseaccurate
231086,Who is the audience of Delta Blockchain Fund,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Delta Blockchain Fund"",""returnType"":1}",audience
231087,Blain Reinkensmeyer,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Blain Reinkensmeyer"",""returnType"":1}",basic
231087,Who is Blain Reinkensmeyer,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Blain Reinkensmeyer"",""returnType"":1}",verboseaccurate
231087,What are Blain Reinkensmeyer professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Blain Reinkensmeyer professions"",""returnType"":1}",professions
231087,Who is the audience of Blain Reinkensmeyer,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Blain Reinkensmeyer"",""returnType"":1}",audience
231088,Dayana Yochim,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Dayana Yochim"",""returnType"":1}",basic
231088,Who is Dayana Yochim,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Dayana Yochim"",""returnType"":1}",verboseaccurate
231088,What are Dayana Yochim professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Dayana Yochim professions"",""returnType"":1}",professions
231088,Who is the audience of Dayana Yochim,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Dayana Yochim"",""returnType"":1}",audience
231090,Guidehouse,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Guidehouse"",""returnType"":1}",basic
231090,What is Guidehouse,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Guidehouse"",""returnType"":1}",verboseaccurate
231090,Who is the audience of Guidehouse,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Guidehouse"",""returnType"":1}",audience
231091,Bookworm Era,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Bookworm Era"",""returnType"":1}",basic
231091,What is Bookworm Era,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Bookworm Era"",""returnType"":1}",verboseaccurate
231091,Who is the audience of Bookworm Era,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Bookworm Era"",""returnType"":1}",audience
231092,So Yummy Recipes,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""So Yummy Recipes"",""returnType"":1}",basic
231092,What is So Yummy Recipes,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is So Yummy Recipes"",""returnType"":1}",verboseaccurate
231092,Who is the audience of So Yummy Recipes,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of So Yummy Recipes"",""returnType"":1}",audience
231097,David Klein,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""David Klein"",""returnType"":1}",basic
231097,Who is David Klein,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is David Klein"",""returnType"":1}",verboseaccurate
231097,What are David Klein professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are David Klein professions"",""returnType"":1}",professions
231097,Who is the audience of David Klein,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of David Klein"",""returnType"":1}",audience
231101,Generative SEO,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Generative SEO"",""returnType"":1}",basic
231101,What is Generative SEO,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Generative SEO"",""returnType"":1}",verboseaccurate
231101,Who is the audience of Generative SEO,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Generative SEO"",""returnType"":1}",audience
231103,UltB,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""UltB"",""returnType"":1}",basic
231103,UltB B2b,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""UltB B2b"",""returnType"":1}",qualifier
231103,What is UltB,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is UltB"",""returnType"":1}",verboseaccurate
231103,What is UltB B2b,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is UltB B2b"",""returnType"":1}",qualifier
231103,Who is the audience of UltB,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of UltB"",""returnType"":1}",audience
231104,Igor Shapiro,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Igor Shapiro"",""returnType"":1}",basic
231104,Who is Igor Shapiro,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Igor Shapiro"",""returnType"":1}",verboseaccurate
231104,What are Igor Shapiro professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Igor Shapiro professions"",""returnType"":1}",professions
231104,Who is the audience of Igor Shapiro,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Igor Shapiro"",""returnType"":1}",audience
231105,Have Clothes Will Travel,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Have Clothes Will Travel"",""returnType"":1}",basic
231105,What is Have Clothes Will Travel,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Have Clothes Will Travel"",""returnType"":1}",verboseaccurate
231105,Who is the audience of Have Clothes Will Travel,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Have Clothes Will Travel"",""returnType"":1}",audience
231106,Wealthy Nickel,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Wealthy Nickel"",""returnType"":1}",basic
231106,What is Wealthy Nickel,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Wealthy Nickel"",""returnType"":1}",verboseaccurate
231106,Who is the audience of Wealthy Nickel,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Wealthy Nickel"",""returnType"":1}",audience
231107,Mrs Daaku Studio,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Mrs Daaku Studio"",""returnType"":1}",basic
231107,What is Mrs Daaku Studio,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Mrs Daaku Studio"",""returnType"":1}",verboseaccurate
231107,Who is the audience of Mrs Daaku Studio,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Mrs Daaku Studio"",""returnType"":1}",audience
231111,Marshall Æon,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Marshall \u00c6on"",""returnType"":1}",basic
231111,Who is Marshall Æon,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Marshall \u00c6on"",""returnType"":1}",verboseaccurate
231111,What are Marshall Æon professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Marshall \u00c6on professions"",""returnType"":1}",professions
231111,Who is the audience of Marshall Æon,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Marshall \u00c6on"",""returnType"":1}",audience
231112,Amit Rathore,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Amit Rathore"",""returnType"":1}",basic
231112,Amit Rathore Awake,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Amit Rathore Awake"",""returnType"":1}",qualifier
